"","time","steps"
"1",2015-01-01,0
"2",2015-01-02,0
"3",2015-01-03,0
"4",2015-01-04,0
"5",2015-01-05,0
"6",2015-01-06,0
"7",2015-01-07,0
"8",2015-01-08,0
"9",2015-01-09,0
"10",2015-01-10,0
"11",2015-01-11,0
"12",2015-01-12,0
"13",2015-01-13,0
"14",2015-01-14,0
"15",2015-01-15,0
"16",2015-01-16,0
"17",2015-01-17,0
"18",2015-01-18,0
"19",2015-01-19,0
"20",2015-01-20,0
"21",2015-01-21,0
"22",2015-01-22,0
"23",2015-01-23,0
"24",2015-01-24,0
"25",2015-01-25,0
"26",2015-01-26,0
"27",2015-01-27,0
"28",2015-01-28,0
"29",2015-01-29,0
"30",2015-01-30,0
"31",2015-01-31,0
"32",2015-02-01,0
"33",2015-02-02,0
"34",2015-02-03,0
"35",2015-02-04,0
"36",2015-02-05,0
"37",2015-02-06,0
"38",2015-02-07,0
"39",2015-02-08,0
"40",2015-02-09,0
"41",2015-02-10,0
"42",2015-02-11,0
"43",2015-02-12,0
"44",2015-02-13,0
"45",2015-02-14,0
"46",2015-02-15,0
"47",2015-02-16,0
"48",2015-02-17,0
"49",2015-02-18,0
"50",2015-02-19,0
"51",2015-02-20,0
"52",2015-02-21,0
"53",2015-02-22,0
"54",2015-02-23,0
"55",2015-02-24,0
"56",2015-02-25,0
"57",2015-02-26,0
"58",2015-02-27,0
"59",2015-02-28,0
"60",2015-03-01,0
"61",2015-03-02,0
"62",2015-03-03,0
"63",2015-03-04,0
"64",2015-03-05,0
"65",2015-03-06,0
"66",2015-03-07,0
"67",2015-03-08,0
"68",2015-03-09,0
"69",2015-03-10,0
"70",2015-03-11,0
"71",2015-03-12,0
"72",2015-03-13,0
"73",2015-03-14,0
"74",2015-03-15,0
"75",2015-03-16,0
"76",2015-03-17,0
"77",2015-03-18,0
"78",2015-03-19,0
"79",2015-03-20,0
"80",2015-03-21,0
"81",2015-03-22,0
"82",2015-03-23,0
"83",2015-03-24,0
"84",2015-03-25,0
"85",2015-03-26,0
"86",2015-03-27,0
"87",2015-03-28,0
"88",2015-03-29,0
"89",2015-03-30,0
"90",2015-03-31,0
"91",2015-04-01,0
"92",2015-04-02,0
"93",2015-04-03,0
"94",2015-04-04,0
"95",2015-04-05,0
"96",2015-04-06,0
"97",2015-04-07,0
"98",2015-04-08,0
"99",2015-04-09,0
"100",2015-04-10,0
"101",2015-04-11,0
"102",2015-04-12,51
"103",2015-04-13,15814
"104",2015-04-14,7215
"105",2015-04-15,10060
"106",2015-04-16,10428
"107",2015-04-17,11300
"108",2015-04-18,6051
"109",2015-04-19,9652
"110",2015-04-20,5664
"111",2015-04-21,5138
"112",2015-04-22,13458
"113",2015-04-23,9875
"114",2015-04-24,8558
"115",2015-04-25,4847
"116",2015-04-26,6
"117",2015-04-27,13604
"118",2015-04-28,0
"119",2015-04-29,6960
"120",2015-04-30,10878
"121",2015-05-01,0
"122",2015-05-02,4553
"123",2015-05-03,8213
"124",2015-05-04,15167
"125",2015-05-05,10013
"126",2015-05-06,6433
"127",2015-05-07,6199
"128",2015-05-08,0
"129",2015-05-09,4471
"130",2015-05-10,4244
"131",2015-05-11,8603
"132",2015-05-12,6657
"133",2015-05-13,8009
"134",2015-05-14,12234
"135",2015-05-15,11935
"136",2015-05-16,9106
"137",2015-05-17,7968
"138",2015-05-18,7738
"139",2015-05-19,9941
"140",2015-05-20,8365
"141",2015-05-21,6948
"142",2015-05-22,10002
"143",2015-05-23,4165
"144",2015-05-24,5411
"145",2015-05-25,6870
"146",2015-05-26,11458
"147",2015-05-27,6958
"148",2015-05-28,9215
"149",2015-05-29,10824
"150",2015-05-30,4890
"151",2015-05-31,4713
"152",2015-06-01,9312
"153",2015-06-02,6824
"154",2015-06-03,0
"155",2015-06-04,13541
"156",2015-06-05,0
"157",2015-06-06,3845
"158",2015-06-07,2609
"159",2015-06-08,3157
"160",2015-06-09,6397
"161",2015-06-10,6332
"162",2015-06-11,14777
"163",2015-06-12,3220
"164",2015-06-13,0
"165",2015-06-14,1445
"166",2015-06-15,5447
"167",2015-06-16,5537
"168",2015-06-17,6100
"169",2015-06-18,14699
"170",2015-06-19,9887
"171",2015-06-20,8027
"172",2015-06-21,4868
"173",2015-06-22,242
"174",2015-06-23,4954
"175",2015-06-24,6784
"176",2015-06-25,7640
"177",2015-06-26,13929
"178",2015-06-27,8554
"179",2015-06-28,2818
"180",2015-06-29,8679
"181",2015-06-30,6350
"182",2015-07-01,3467
"183",2015-07-02,5781
"184",2015-07-03,7940
"185",2015-07-04,1369
"186",2015-07-05,1721
"187",2015-07-06,10614
"188",2015-07-07,14177
"189",2015-07-08,7604
"190",2015-07-09,0
"191",2015-07-10,8653
"192",2015-07-11,9272
"193",2015-07-12,4456
"194",2015-07-13,9932
"195",2015-07-14,10179
"196",2015-07-15,0
"197",2015-07-16,10725
"198",2015-07-17,10495
"199",2015-07-18,12364
"200",2015-07-19,2937
"201",2015-07-20,0
"202",2015-07-21,13680
"203",2015-07-22,7358
"204",2015-07-23,11119
"205",2015-07-24,10952
"206",2015-07-25,13689
"207",2015-07-26,3874
"208",2015-07-27,7059
"209",2015-07-28,5595
"210",2015-07-29,573
"211",2015-07-30,0
"212",2015-07-31,0
"213",2015-08-01,0
"214",2015-08-02,0
"215",2015-08-03,0
"216",2015-08-04,0
"217",2015-08-05,0
"218",2015-08-06,0
"219",2015-08-07,0
"220",2015-08-08,0
"221",2015-08-09,0
"222",2015-08-10,0
"223",2015-08-11,0
"224",2015-08-12,207
"225",2015-08-13,8160
"226",2015-08-14,1630
"227",2015-08-15,2419
"228",2015-08-16,8591
"229",2015-08-17,7863
"230",2015-08-18,10390
"231",2015-08-19,8172
"232",2015-08-20,13912
"233",2015-08-21,14520
"234",2015-08-22,13955
"235",2015-08-23,15685
"236",2015-08-24,5491
"237",2015-08-25,3572
"238",2015-08-26,0
"239",2015-08-27,0
"240",2015-08-28,0
"241",2015-08-29,3266
"242",2015-08-30,3829
"243",2015-08-31,7
"244",2015-09-01,3090
"245",2015-09-02,11975
"246",2015-09-03,7660
"247",2015-09-04,7370
"248",2015-09-05,2432
"249",2015-09-06,11849
"250",2015-09-07,1773
"251",2015-09-08,6192
"252",2015-09-09,8267
"253",2015-09-10,8398
"254",2015-09-11,8301
"255",2015-09-12,11346
"256",2015-09-13,3795
"257",2015-09-14,9227
"258",2015-09-15,2399
"259",2015-09-16,8752
