"","time","steps","date","wday","hour","minute","month"
"1",2015-01-01 00:00:00,0,"2015-01-01","Thurs",0,0,1
"2",2015-01-01 00:15:00,0,"2015-01-01","Thurs",0,15,1
"3",2015-01-01 00:30:00,0,"2015-01-01","Thurs",0,30,1
"4",2015-01-01 00:45:00,0,"2015-01-01","Thurs",0,45,1
"5",2015-01-01 01:00:00,0,"2015-01-01","Thurs",1,0,1
"6",2015-01-01 01:15:00,0,"2015-01-01","Thurs",1,15,1
"7",2015-01-01 01:30:00,0,"2015-01-01","Thurs",1,30,1
"8",2015-01-01 01:45:00,0,"2015-01-01","Thurs",1,45,1
"9",2015-01-01 02:00:00,0,"2015-01-01","Thurs",2,0,1
"10",2015-01-01 02:15:00,0,"2015-01-01","Thurs",2,15,1
"11",2015-01-01 02:30:00,0,"2015-01-01","Thurs",2,30,1
"12",2015-01-01 02:45:00,0,"2015-01-01","Thurs",2,45,1
"13",2015-01-01 03:00:00,0,"2015-01-01","Thurs",3,0,1
"14",2015-01-01 03:15:00,0,"2015-01-01","Thurs",3,15,1
"15",2015-01-01 03:30:00,0,"2015-01-01","Thurs",3,30,1
"16",2015-01-01 03:45:00,0,"2015-01-01","Thurs",3,45,1
"17",2015-01-01 04:00:00,0,"2015-01-01","Thurs",4,0,1
"18",2015-01-01 04:15:00,0,"2015-01-01","Thurs",4,15,1
"19",2015-01-01 04:30:00,0,"2015-01-01","Thurs",4,30,1
"20",2015-01-01 04:45:00,0,"2015-01-01","Thurs",4,45,1
"21",2015-01-01 05:00:00,0,"2015-01-01","Thurs",5,0,1
"22",2015-01-01 05:15:00,0,"2015-01-01","Thurs",5,15,1
"23",2015-01-01 05:30:00,0,"2015-01-01","Thurs",5,30,1
"24",2015-01-01 05:45:00,0,"2015-01-01","Thurs",5,45,1
"25",2015-01-01 06:00:00,0,"2015-01-01","Thurs",6,0,1
"26",2015-01-01 06:15:00,0,"2015-01-01","Thurs",6,15,1
"27",2015-01-01 06:30:00,0,"2015-01-01","Thurs",6,30,1
"28",2015-01-01 06:45:00,0,"2015-01-01","Thurs",6,45,1
"29",2015-01-01 07:00:00,0,"2015-01-01","Thurs",7,0,1
"30",2015-01-01 07:15:00,0,"2015-01-01","Thurs",7,15,1
"31",2015-01-01 07:30:00,0,"2015-01-01","Thurs",7,30,1
"32",2015-01-01 07:45:00,0,"2015-01-01","Thurs",7,45,1
"33",2015-01-01 08:00:00,0,"2015-01-01","Thurs",8,0,1
"34",2015-01-01 08:15:00,0,"2015-01-01","Thurs",8,15,1
"35",2015-01-01 08:30:00,0,"2015-01-01","Thurs",8,30,1
"36",2015-01-01 08:45:00,0,"2015-01-01","Thurs",8,45,1
"37",2015-01-01 09:00:00,0,"2015-01-01","Thurs",9,0,1
"38",2015-01-01 09:15:00,0,"2015-01-01","Thurs",9,15,1
"39",2015-01-01 09:30:00,0,"2015-01-01","Thurs",9,30,1
"40",2015-01-01 09:45:00,0,"2015-01-01","Thurs",9,45,1
"41",2015-01-01 10:00:00,0,"2015-01-01","Thurs",10,0,1
"42",2015-01-01 10:15:00,0,"2015-01-01","Thurs",10,15,1
"43",2015-01-01 10:30:00,0,"2015-01-01","Thurs",10,30,1
"44",2015-01-01 10:45:00,0,"2015-01-01","Thurs",10,45,1
"45",2015-01-01 11:00:00,0,"2015-01-01","Thurs",11,0,1
"46",2015-01-01 11:15:00,0,"2015-01-01","Thurs",11,15,1
"47",2015-01-01 11:30:00,0,"2015-01-01","Thurs",11,30,1
"48",2015-01-01 11:45:00,0,"2015-01-01","Thurs",11,45,1
"49",2015-01-01 12:00:00,0,"2015-01-01","Thurs",12,0,1
"50",2015-01-01 12:15:00,0,"2015-01-01","Thurs",12,15,1
"51",2015-01-01 12:30:00,0,"2015-01-01","Thurs",12,30,1
"52",2015-01-01 12:45:00,0,"2015-01-01","Thurs",12,45,1
"53",2015-01-01 13:00:00,0,"2015-01-01","Thurs",13,0,1
"54",2015-01-01 13:15:00,0,"2015-01-01","Thurs",13,15,1
"55",2015-01-01 13:30:00,0,"2015-01-01","Thurs",13,30,1
"56",2015-01-01 13:45:00,0,"2015-01-01","Thurs",13,45,1
"57",2015-01-01 14:00:00,0,"2015-01-01","Thurs",14,0,1
"58",2015-01-01 14:15:00,0,"2015-01-01","Thurs",14,15,1
"59",2015-01-01 14:30:00,0,"2015-01-01","Thurs",14,30,1
"60",2015-01-01 14:45:00,0,"2015-01-01","Thurs",14,45,1
"61",2015-01-01 15:00:00,0,"2015-01-01","Thurs",15,0,1
"62",2015-01-01 15:15:00,0,"2015-01-01","Thurs",15,15,1
"63",2015-01-01 15:30:00,0,"2015-01-01","Thurs",15,30,1
"64",2015-01-01 15:45:00,0,"2015-01-01","Thurs",15,45,1
"65",2015-01-01 16:00:00,0,"2015-01-01","Thurs",16,0,1
"66",2015-01-01 16:15:00,0,"2015-01-01","Thurs",16,15,1
"67",2015-01-01 16:30:00,0,"2015-01-01","Thurs",16,30,1
"68",2015-01-01 16:45:00,0,"2015-01-01","Thurs",16,45,1
"69",2015-01-01 17:00:00,0,"2015-01-01","Thurs",17,0,1
"70",2015-01-01 17:15:00,0,"2015-01-01","Thurs",17,15,1
"71",2015-01-01 17:30:00,0,"2015-01-01","Thurs",17,30,1
"72",2015-01-01 17:45:00,0,"2015-01-01","Thurs",17,45,1
"73",2015-01-01 18:00:00,0,"2015-01-01","Thurs",18,0,1
"74",2015-01-01 18:15:00,0,"2015-01-01","Thurs",18,15,1
"75",2015-01-01 18:30:00,0,"2015-01-01","Thurs",18,30,1
"76",2015-01-01 18:45:00,0,"2015-01-01","Thurs",18,45,1
"77",2015-01-01 19:00:00,0,"2015-01-01","Thurs",19,0,1
"78",2015-01-01 19:15:00,0,"2015-01-01","Thurs",19,15,1
"79",2015-01-01 19:30:00,0,"2015-01-01","Thurs",19,30,1
"80",2015-01-01 19:45:00,0,"2015-01-01","Thurs",19,45,1
"81",2015-01-01 20:00:00,0,"2015-01-01","Thurs",20,0,1
"82",2015-01-01 20:15:00,0,"2015-01-01","Thurs",20,15,1
"83",2015-01-01 20:30:00,0,"2015-01-01","Thurs",20,30,1
"84",2015-01-01 20:45:00,0,"2015-01-01","Thurs",20,45,1
"85",2015-01-01 21:00:00,0,"2015-01-01","Thurs",21,0,1
"86",2015-01-01 21:15:00,0,"2015-01-01","Thurs",21,15,1
"87",2015-01-01 21:30:00,0,"2015-01-01","Thurs",21,30,1
"88",2015-01-01 21:45:00,0,"2015-01-01","Thurs",21,45,1
"89",2015-01-01 22:00:00,0,"2015-01-01","Thurs",22,0,1
"90",2015-01-01 22:15:00,0,"2015-01-01","Thurs",22,15,1
"91",2015-01-01 22:30:00,0,"2015-01-01","Thurs",22,30,1
"92",2015-01-01 22:45:00,0,"2015-01-01","Thurs",22,45,1
"93",2015-01-01 23:00:00,0,"2015-01-01","Thurs",23,0,1
"94",2015-01-01 23:15:00,0,"2015-01-01","Thurs",23,15,1
"95",2015-01-01 23:30:00,0,"2015-01-01","Thurs",23,30,1
"96",2015-01-01 23:45:00,0,"2015-01-01","Thurs",23,45,1
"97",2015-01-02 00:00:00,0,"2015-01-02","Fri",0,0,1
"98",2015-01-02 00:15:00,0,"2015-01-02","Fri",0,15,1
"99",2015-01-02 00:30:00,0,"2015-01-02","Fri",0,30,1
"100",2015-01-02 00:45:00,0,"2015-01-02","Fri",0,45,1
"101",2015-01-02 01:00:00,0,"2015-01-02","Fri",1,0,1
"102",2015-01-02 01:15:00,0,"2015-01-02","Fri",1,15,1
"103",2015-01-02 01:30:00,0,"2015-01-02","Fri",1,30,1
"104",2015-01-02 01:45:00,0,"2015-01-02","Fri",1,45,1
"105",2015-01-02 02:00:00,0,"2015-01-02","Fri",2,0,1
"106",2015-01-02 02:15:00,0,"2015-01-02","Fri",2,15,1
"107",2015-01-02 02:30:00,0,"2015-01-02","Fri",2,30,1
"108",2015-01-02 02:45:00,0,"2015-01-02","Fri",2,45,1
