"","date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"1","2015-09-07","2:07","13:18","671","NULL","12","NULL","NULL","640","9.5","93"
"2","2015-09-08","23:18","6:55","457","NULL","12","NULL","NULL","434","9","92"
"3","2015-09-19","1:20","11:49","628","NULL","26","NULL","NULL","577","8.5","87"
"4","2015-09-06","3:50","10:24","394","NULL","9","NULL","NULL","380","8.5","85"
"5","2015-09-11","1:11","8:11","419","NULL","8","NULL","NULL","406","9","91"
"6","2015-09-14","16:18","18:57","159","NULL","1","NULL","NULL","158","5","51"
"7","2015-09-05","1:19","10:57","578","NULL","16","NULL","NULL","550","9.5","93"
"8","2015-09-20","23:49","8:46","537","NULL","19","NULL","NULL","495","8.5","87"
"9","2015-09-18","16:48","19:31","163","NULL","1","NULL","NULL","162","5","52"
"10","2015-09-13","2:16","12:54","637","NULL","19","NULL","NULL","597","9","90"
"11","2015-09-17","17:48","19:40","112","NULL","6","NULL","NULL","100","3","28"
"12","2015-09-16","0:15","6:13","357","NULL","19","NULL","NULL","300","6","62"
"13","2015-09-18","0:08","8:03","475","NULL","13","NULL","NULL","443","8.5","86"
"14","2015-09-12","17:46","19:33","107","NULL","3","NULL","NULL","101","4","41"
"15","2015-09-15","1:03","7:59","415","NULL","6","NULL","NULL","396","9","90"
"16","2015-09-17","23:49","7:49","480","NULL","13","NULL","NULL","443","9","90"
"17","2015-09-12","1:15","11:06","591","NULL","17","NULL","NULL","548","9","90"
"18","2015-09-10","0:49","7:47","418","NULL","8","NULL","NULL","397","9","90"
