"time","steps","date","wday","hour","minute","month"
2014-10-01 00:00:00,0,"2014-10-01","Wed",0,0,10
2014-10-01 00:15:00,0,"2014-10-01","Wed",0,15,10
2014-10-01 00:30:00,0,"2014-10-01","Wed",0,30,10
2014-10-01 00:45:00,0,"2014-10-01","Wed",0,45,10
2014-10-01 01:00:00,0,"2014-10-01","Wed",1,0,10
2014-10-01 01:15:00,0,"2014-10-01","Wed",1,15,10
2014-10-01 01:30:00,0,"2014-10-01","Wed",1,30,10
2014-10-01 01:45:00,0,"2014-10-01","Wed",1,45,10
2014-10-01 02:00:00,0,"2014-10-01","Wed",2,0,10
2014-10-01 02:15:00,0,"2014-10-01","Wed",2,15,10
2014-10-01 02:30:00,0,"2014-10-01","Wed",2,30,10
2014-10-01 02:45:00,0,"2014-10-01","Wed",2,45,10
2014-10-01 03:00:00,0,"2014-10-01","Wed",3,0,10
2014-10-01 03:15:00,0,"2014-10-01","Wed",3,15,10
2014-10-01 03:30:00,0,"2014-10-01","Wed",3,30,10
2014-10-01 03:45:00,0,"2014-10-01","Wed",3,45,10
2014-10-01 04:00:00,0,"2014-10-01","Wed",4,0,10
2014-10-01 04:15:00,0,"2014-10-01","Wed",4,15,10
2014-10-01 04:30:00,0,"2014-10-01","Wed",4,30,10
2014-10-01 04:45:00,0,"2014-10-01","Wed",4,45,10
2014-10-01 05:00:00,0,"2014-10-01","Wed",5,0,10
2014-10-01 05:15:00,0,"2014-10-01","Wed",5,15,10
2014-10-01 05:30:00,0,"2014-10-01","Wed",5,30,10
2014-10-01 05:45:00,0,"2014-10-01","Wed",5,45,10
2014-10-01 06:00:00,0,"2014-10-01","Wed",6,0,10
2014-10-01 06:15:00,0,"2014-10-01","Wed",6,15,10
2014-10-01 06:30:00,0,"2014-10-01","Wed",6,30,10
2014-10-01 06:45:00,0,"2014-10-01","Wed",6,45,10
2014-10-01 07:00:00,0,"2014-10-01","Wed",7,0,10
