"","time","steps","day"
"1","00:00:00",0,"2015-05-08"
"2","00:15:00",0,"2015-05-08"
"3","00:30:00",0,"2015-05-08"
"4","00:45:00",0,"2015-05-08"
"5","01:00:00",4,"2015-05-08"
"6","01:15:00",0,"2015-05-08"
"7","01:30:00",0,"2015-05-08"
"8","01:45:00",0,"2015-05-08"
"9","02:00:00",0,"2015-05-08"
"10","02:15:00",0,"2015-05-08"
"11","02:30:00",0,"2015-05-08"
"12","02:45:00",0,"2015-05-08"
"13","03:00:00",0,"2015-05-08"
"14","03:15:00",0,"2015-05-08"
"15","03:30:00",0,"2015-05-08"
"16","03:45:00",0,"2015-05-08"
"17","04:00:00",0,"2015-05-08"
"18","04:15:00",10,"2015-05-08"
"19","04:30:00",0,"2015-05-08"
"20","04:45:00",0,"2015-05-08"
"21","05:00:00",19,"2015-05-08"
"22","05:15:00",12,"2015-05-08"
"23","05:30:00",4,"2015-05-08"
"24","05:45:00",0,"2015-05-08"
"25","06:00:00",137,"2015-05-08"
"26","06:15:00",104,"2015-05-08"
"27","06:30:00",158,"2015-05-08"
"28","06:45:00",89,"2015-05-08"
"29","07:00:00",604,"2015-05-08"
"30","07:15:00",219,"2015-05-08"
"31","07:30:00",307,"2015-05-08"
"32","07:45:00",698,"2015-05-08"
"33","08:00:00",219,"2015-05-08"
"34","08:15:00",131,"2015-05-08"
"35","08:30:00",294,"2015-05-08"
"36","08:45:00",171,"2015-05-08"
"37","09:00:00",172,"2015-05-08"
"38","09:15:00",0,"2015-05-08"
"39","09:30:00",0,"2015-05-08"
"40","09:45:00",213,"2015-05-08"
"41","10:00:00",321,"2015-05-08"
"42","10:15:00",11,"2015-05-08"
"43","10:30:00",120,"2015-05-08"
"44","10:45:00",298,"2015-05-08"
"45","11:00:00",152,"2015-05-08"
"46","11:15:00",157,"2015-05-08"
"47","11:30:00",504,"2015-05-08"
"48","11:45:00",431,"2015-05-08"
"49","12:00:00",259,"2015-05-08"
"50","12:15:00",0,"2015-05-08"
"51","12:30:00",0,"2015-05-08"
"52","12:45:00",0,"2015-05-08"
"53","13:00:00",123,"2015-05-08"
"54","13:15:00",209,"2015-05-08"
"55","13:30:00",0,"2015-05-08"
"56","13:45:00",0,"2015-05-08"
"57","14:00:00",322,"2015-05-08"
"58","14:15:00",128,"2015-05-08"
"59","14:30:00",51,"2015-05-08"
"60","14:45:00",60,"2015-05-08"
"61","15:00:00",4,"2015-05-08"
"62","15:15:00",10,"2015-05-08"
"63","15:30:00",176,"2015-05-08"
"64","15:45:00",21,"2015-05-08"
"65","16:00:00",8,"2015-05-08"
"66","16:15:00",233,"2015-05-08"
"67","16:30:00",535,"2015-05-08"
"68","16:45:00",227,"2015-05-08"
"69","17:00:00",173,"2015-05-08"
"70","17:15:00",95,"2015-05-08"
"71","17:30:00",602,"2015-05-08"
"72","17:45:00",78,"2015-05-08"
"73","18:00:00",0,"2015-05-08"
"74","18:15:00",68,"2015-05-08"
"75","18:30:00",10,"2015-05-08"
"76","18:45:00",0,"2015-05-08"
"77","19:00:00",50,"2015-05-08"
"78","19:15:00",105,"2015-05-08"
"79","19:30:00",85,"2015-05-08"
"80","19:45:00",0,"2015-05-08"
"81","20:00:00",7,"2015-05-08"
"82","20:15:00",183,"2015-05-08"
"83","20:30:00",14,"2015-05-08"
"84","20:45:00",48,"2015-05-08"
"85","21:00:00",0,"2015-05-08"
"86","21:15:00",0,"2015-05-08"
"87","21:30:00",0,"2015-05-08"
"88","21:45:00",0,"2015-05-08"
"89","22:00:00",0,"2015-05-08"
"90","22:15:00",0,"2015-05-08"
"91","22:30:00",0,"2015-05-08"
"92","22:45:00",0,"2015-05-08"
"93","23:00:00",0,"2015-05-08"
"94","23:15:00",0,"2015-05-08"
"95","23:30:00",0,"2015-05-08"
"96","23:45:00",0,"2015-05-08"
"97","00:00:00",0,"2015-05-09"
"98","00:15:00",0,"2015-05-09"
"99","00:30:00",0,"2015-05-09"
"100","00:45:00",0,"2015-05-09"
"101","01:00:00",0,"2015-05-09"
"102","01:15:00",0,"2015-05-09"
"103","01:30:00",0,"2015-05-09"
"104","01:45:00",0,"2015-05-09"
"105","02:00:00",0,"2015-05-09"
"106","02:15:00",0,"2015-05-09"
"107","02:30:00",0,"2015-05-09"
"108","02:45:00",0,"2015-05-09"
"109","03:00:00",0,"2015-05-09"
"110","03:15:00",0,"2015-05-09"
"111","03:30:00",0,"2015-05-09"
"112","03:45:00",0,"2015-05-09"
"113","04:00:00",0,"2015-05-09"
"114","04:15:00",0,"2015-05-09"
"115","04:30:00",0,"2015-05-09"
"116","04:45:00",0,"2015-05-09"
"117","05:00:00",0,"2015-05-09"
"118","05:15:00",0,"2015-05-09"
"119","05:30:00",0,"2015-05-09"
"120","05:45:00",0,"2015-05-09"
"121","06:00:00",0,"2015-05-09"
"122","06:15:00",31,"2015-05-09"
"123","06:30:00",0,"2015-05-09"
"124","06:45:00",0,"2015-05-09"
"125","07:00:00",0,"2015-05-09"
"126","07:15:00",80,"2015-05-09"
"127","07:30:00",23,"2015-05-09"
"128","07:45:00",147,"2015-05-09"
"129","08:00:00",53,"2015-05-09"
"130","08:15:00",13,"2015-05-09"
"131","08:30:00",0,"2015-05-09"
"132","08:45:00",0,"2015-05-09"
"133","09:00:00",0,"2015-05-09"
"134","09:15:00",218,"2015-05-09"
"135","09:30:00",15,"2015-05-09"
"136","09:45:00",90,"2015-05-09"
"137","10:00:00",193,"2015-05-09"
"138","10:15:00",0,"2015-05-09"
"139","10:30:00",0,"2015-05-09"
"140","10:45:00",30,"2015-05-09"
"141","11:00:00",0,"2015-05-09"
"142","11:15:00",4,"2015-05-09"
"143","11:30:00",24,"2015-05-09"
"144","11:45:00",184,"2015-05-09"
"145","12:00:00",298,"2015-05-09"
"146","12:15:00",105,"2015-05-09"
"147","12:30:00",14,"2015-05-09"
"148","12:45:00",153,"2015-05-09"
"149","13:00:00",194,"2015-05-09"
"150","13:15:00",755,"2015-05-09"
"151","13:30:00",238,"2015-05-09"
"152","13:45:00",82,"2015-05-09"
"153","14:00:00",346,"2015-05-09"
"154","14:15:00",54,"2015-05-09"
"155","14:30:00",0,"2015-05-09"
"156","14:45:00",0,"2015-05-09"
"157","15:00:00",0,"2015-05-09"
"158","15:15:00",131,"2015-05-09"
"159","15:30:00",262,"2015-05-09"
"160","15:45:00",81,"2015-05-09"
"161","16:00:00",337,"2015-05-09"
"162","16:15:00",153,"2015-05-09"
"163","16:30:00",72,"2015-05-09"
"164","16:45:00",0,"2015-05-09"
"165","17:00:00",0,"2015-05-09"
"166","17:15:00",0,"2015-05-09"
"167","17:30:00",0,"2015-05-09"
"168","17:45:00",0,"2015-05-09"
"169","18:00:00",72,"2015-05-09"
"170","18:15:00",197,"2015-05-09"
"171","18:30:00",503,"2015-05-09"
"172","18:45:00",358,"2015-05-09"
"173","19:00:00",0,"2015-05-09"
"174","19:15:00",0,"2015-05-09"
"175","19:30:00",0,"2015-05-09"
"176","19:45:00",0,"2015-05-09"
"177","20:00:00",0,"2015-05-09"
"178","20:15:00",0,"2015-05-09"
"179","20:30:00",0,"2015-05-09"
"180","20:45:00",845,"2015-05-09"
"181","21:00:00",32,"2015-05-09"
"182","21:15:00",398,"2015-05-09"
"183","21:30:00",167,"2015-05-09"
"184","21:45:00",15,"2015-05-09"
"185","22:00:00",9,"2015-05-09"
"186","22:15:00",0,"2015-05-09"
"187","22:30:00",0,"2015-05-09"
"188","22:45:00",0,"2015-05-09"
"189","23:00:00",7,"2015-05-09"
"190","23:15:00",0,"2015-05-09"
"191","23:30:00",0,"2015-05-09"
"192","23:45:00",713,"2015-05-09"
"193","00:00:00",734,"2015-05-10"
"194","00:15:00",121,"2015-05-10"
"195","00:30:00",69,"2015-05-10"
"196","00:45:00",68,"2015-05-10"
"197","01:00:00",8,"2015-05-10"
"198","01:15:00",0,"2015-05-10"
"199","01:30:00",0,"2015-05-10"
"200","01:45:00",0,"2015-05-10"
"201","02:00:00",0,"2015-05-10"
"202","02:15:00",0,"2015-05-10"
"203","02:30:00",0,"2015-05-10"
"204","02:45:00",0,"2015-05-10"
"205","03:00:00",0,"2015-05-10"
"206","03:15:00",0,"2015-05-10"
"207","03:30:00",0,"2015-05-10"
"208","03:45:00",0,"2015-05-10"
"209","04:00:00",0,"2015-05-10"
"210","04:15:00",0,"2015-05-10"
"211","04:30:00",0,"2015-05-10"
"212","04:45:00",0,"2015-05-10"
"213","05:00:00",0,"2015-05-10"
"214","05:15:00",0,"2015-05-10"
"215","05:30:00",0,"2015-05-10"
"216","05:45:00",0,"2015-05-10"
"217","06:00:00",0,"2015-05-10"
