"time","steps","day"
"1","00:00:00",0,"2014-10-01"
"2","00:15:00",0,"2014-10-01"
"3","00:30:00",0,"2014-10-01"
"4","00:45:00",0,"2014-10-01"
"5","01:00:00",0,"2014-10-01"
"6","01:15:00",0,"2014-10-01"
"7","01:30:00",0,"2014-10-01"
"8","01:45:00",0,"2014-10-01"
"9","02:00:00",0,"2014-10-01"
"10","02:15:00",0,"2014-10-01"
"11","02:30:00",0,"2014-10-01"
"12","02:45:00",0,"2014-10-01"
"13","03:00:00",0,"2014-10-01"
"14","03:15:00",0,"2014-10-01"
"15","03:30:00",0,"2014-10-01"
"16","03:45:00",0,"2014-10-01"
"17","04:00:00",0,"2014-10-01"
"18","04:15:00",0,"2014-10-01"
"19","04:30:00",0,"2014-10-01"
"20","04:45:00",0,"2014-10-01"
"21","05:00:00",0,"2014-10-01"
"22","05:15:00",0,"2014-10-01"
"23","05:30:00",0,"2014-10-01"
"24","05:45:00",0,"2014-10-01"
"25","06:00:00",0,"2014-10-01"
"26","06:15:00",0,"2014-10-01"
"27","06:30:00",0,"2014-10-01"
"28","06:45:00",0,"2014-10-01"
"29","07:00:00",0,"2014-10-01"
"30","07:15:00",0,"2014-10-01"
"31","07:30:00",0,"2014-10-01"
"32","07:45:00",0,"2014-10-01"
"33","08:00:00",0,"2014-10-01"
"34","08:15:00",0,"2014-10-01"
"35","08:30:00",0,"2014-10-01"
"36","08:45:00",0,"2014-10-01"
"37","09:00:00",0,"2014-10-01"
"38","09:15:00",0,"2014-10-01"
"39","09:30:00",0,"2014-10-01"
"40","09:45:00",0,"2014-10-01"
"41","10:00:00",0,"2014-10-01"
"42","10:15:00",0,"2014-10-01"
"43","10:30:00",0,"2014-10-01"
"44","10:45:00",0,"2014-10-01"
"45","11:00:00",0,"2014-10-01"
"46","11:15:00",0,"2014-10-01"
"47","11:30:00",0,"2014-10-01"
"48","11:45:00",0,"2014-10-01"
"49","12:00:00",0,"2014-10-01"
"50","12:15:00",0,"2014-10-01"
"51","12:30:00",0,"2014-10-01"
"52","12:45:00",0,"2014-10-01"
"53","13:00:00",0,"2014-10-01"
"54","13:15:00",0,"2014-10-01"
"55","13:30:00",0,"2014-10-01"
"56","13:45:00",0,"2014-10-01"
"57","14:00:00",0,"2014-10-01"
"58","14:15:00",0,"2014-10-01"
"59","14:30:00",0,"2014-10-01"
"60","14:45:00",0,"2014-10-01"
"61","15:00:00",0,"2014-10-01"
"62","15:15:00",0,"2014-10-01"
"63","15:30:00",0,"2014-10-01"
"64","15:45:00",0,"2014-10-01"
"65","16:00:00",0,"2014-10-01"
"66","16:15:00",0,"2014-10-01"
"67","16:30:00",0,"2014-10-01"
"68","16:45:00",0,"2014-10-01"
"69","17:00:00",0,"2014-10-01"
"70","17:15:00",0,"2014-10-01"
"71","17:30:00",0,"2014-10-01"
"72","17:45:00",0,"2014-10-01"
"73","18:00:00",0,"2014-10-01"
"74","18:15:00",0,"2014-10-01"
"75","18:30:00",0,"2014-10-01"
"76","18:45:00",0,"2014-10-01"
"77","19:00:00",0,"2014-10-01"
"78","19:15:00",0,"2014-10-01"
"79","19:30:00",0,"2014-10-01"
"80","19:45:00",0,"2014-10-01"
"81","20:00:00",0,"2014-10-01"
"82","20:15:00",0,"2014-10-01"
"83","20:30:00",0,"2014-10-01"
"84","20:45:00",0,"2014-10-01"
"85","21:00:00",0,"2014-10-01"
"86","21:15:00",0,"2014-10-01"
"87","21:30:00",0,"2014-10-01"
"88","21:45:00",0,"2014-10-01"
"89","22:00:00",0,"2014-10-01"
"90","22:15:00",0,"2014-10-01"
"91","22:30:00",0,"2014-10-01"
"92","22:45:00",0,"2014-10-01"
"93","23:00:00",0,"2014-10-01"
"94","23:15:00",0,"2014-10-01"
"95","23:30:00",0,"2014-10-01"
"96","23:45:00",0,"2014-10-01"
"97","00:00:00",0,"2014-10-02"
"98","00:15:00",0,"2014-10-02"
"99","00:30:00",0,"2014-10-02"
"100","00:45:00",0,"2014-10-02"
"101","01:00:00",0,"2014-10-02"
"102","01:15:00",0,"2014-10-02"
"103","01:30:00",0,"2014-10-02"
"104","01:45:00",0,"2014-10-02"
"105","02:00:00",0,"2014-10-02"
"106","02:15:00",0,"2014-10-02"
"107","02:30:00",0,"2014-10-02"
"108","02:45:00",0,"2014-10-02"
"109","03:00:00",0,"2014-10-02"
"110","03:15:00",0,"2014-10-02"
"111","03:30:00",0,"2014-10-02"
"112","03:45:00",0,"2014-10-02"
"113","04:00:00",0,"2014-10-02"
"114","04:15:00",0,"2014-10-02"
"115","04:30:00",0,"2014-10-02"
"116","04:45:00",0,"2014-10-02"
"117","05:00:00",0,"2014-10-02"
"118","05:15:00",0,"2014-10-02"
"119","05:30:00",0,"2014-10-02"
"120","05:45:00",0,"2014-10-02"
"121","06:00:00",0,"2014-10-02"
"122","06:15:00",0,"2014-10-02"
"123","06:30:00",0,"2014-10-02"
"124","06:45:00",0,"2014-10-02"
"125","07:00:00",0,"2014-10-02"
"126","07:15:00",0,"2014-10-02"
"127","07:30:00",0,"2014-10-02"
"128","07:45:00",0,"2014-10-02"
"129","08:00:00",0,"2014-10-02"
