"date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"1","2014-10-28","19:09","2:16","427","NULL","8","NULL","NULL","406","9","88"
"2","2015-02-16","21:31","6:39","548","NULL","6","NULL","NULL","529","9.5","97"
"3","2015-01-19","21:52","7:48","596","NULL","4","NULL","NULL","577","9.5","96"
"4","2014-11-12","21:14","4:16","422","NULL","7","NULL","NULL","404","9","91"
"5","2015-05-30","22:05","8:05","600","NULL","20","NULL","NULL","533","8","82"
"6","2015-05-18","21:40","5:38","478","NULL","8","NULL","NULL","453","9","90"
"7","2015-09-21","22:01","4:59","418","NULL","4","NULL","NULL","408","9.5","94"
"8","2015-04-01","21:08","4:15","427","NULL","4","NULL","NULL","411","9","92"
"9","2014-11-15","10:13","17:48","455","NULL","33","NULL","NULL","309","7","69"
"10","2014-11-24","21:37","5:41","484","NULL","10","NULL","NULL","462","9.5","93"
"11","2015-08-13","21:14","4:15","421","NULL","4","NULL","NULL","404","9","91"
"12","2015-06-15","21:39","5:21","462","NULL","6","NULL","NULL","449","9.5","94"
"13","2015-06-28","22:09","6:05","476","NULL","9","NULL","NULL","456","9","92"
"14","2015-07-07","21:13","4:19","426","NULL","5","NULL","NULL","407","9","90"
"15","2015-03-29","22:10","6:51","521","NULL","6","NULL","NULL","500","9.5","93"
"16","2015-08-24","21:30","5:14","464","NULL","7","NULL","NULL","443","9","90"
"17","2015-07-05","21:10","6:09","539","NULL","6","NULL","NULL","523","9.5","95"
"18","2014-12-04","21:04","4:15","431","NULL","4","NULL","NULL","421","9.5","93"
"19","2015-07-15","22:33","6:15","462","NULL","7","NULL","NULL","443","9","91"
"20","2015-05-24","22:56","6:11","435","NULL","5","NULL","NULL","417","9","91"
"21","2015-07-01","21:16","4:15","419","NULL","6","NULL","NULL","397","9","88"
"22","2015-07-14","20:52","4:16","444","NULL","8","NULL","NULL","422","9","90"
"23","2015-07-17","21:48","5:32","464","NULL","7","NULL","NULL","446","9","92"
"24","2014-12-30","21:14","4:15","421","NULL","10","NULL","NULL","395","8.5","87"
"25","2014-11-03","20:59","5:15","496","NULL","12","NULL","NULL","457","9","90"
"26","2015-05-10","22:17","9:47","690","NULL","12","NULL","NULL","651","9","91"
"27","2014-11-02","22:14","5:45","451","NULL","5","NULL","NULL","444","9.5","96"
"28","2014-12-23","21:06","4:15","429","NULL","7","NULL","NULL","409","9","90"
"29","2014-12-10","21:03","4:17","434","NULL","7","NULL","NULL","419","9","92"
"30","2014-11-17","21:40","5:36","476","NULL","7","NULL","NULL","459","9.5","93"
"31","2015-02-19","21:09","5:20","491","NULL","14","NULL","NULL","435","8.5","86"
"32","2015-02-27","21:36","22:03","27","NULL","1","NULL","NULL","25","3","30"
"33","2015-05-22","21:26","5:42","496","NULL","5","NULL","NULL","479","9.5","94"
"34","2015-02-15","23:20","7:09","469","NULL","4","NULL","NULL","459","9.5","95"
"35","2015-03-21","22:02","5:25","443","NULL","9","NULL","NULL","413","8.5","87"
"36","2015-01-13","23:01","7:33","512","NULL","3","NULL","NULL","502","9.5","96"
"37","2014-10-29","2:03","4:15","132","NULL","4","NULL","NULL","120","4","42"
"38","2015-01-12","22:48","8:07","559","NULL","11","NULL","NULL","539","9.5","94"
"39","2015-03-28","21:52","7:33","581","NULL","8","NULL","NULL","551","9","92"
"40","2015-08-20","21:17","4:17","420","NULL","9","NULL","NULL","397","9","88"
"41","2015-05-23","22:38","6:05","447","NULL","7","NULL","NULL","433","9","92"
"42","2015-01-02","21:34","5:46","492","NULL","3","NULL","NULL","483","9.5","96"
"43","2015-06-24","21:12","4:15","423","NULL","6","NULL","NULL","411","9.5","93"
"44","2015-03-19","21:05","6:09","544","NULL","10","NULL","NULL","513","9","92"
"45","2015-07-30","21:03","4:16","433","NULL","7","NULL","NULL","410","9","89"
"46","2015-02-01","13:38","21:49","491","NULL","31","NULL","NULL","306","5","51"
"47","2015-01-08","21:36","5:00","444","NULL","7","NULL","NULL","422","9","89"
