"","time","steps","day"
"1","00:00:00",0,"2015-01-01"
"2","00:15:00",12,"2015-01-01"
"3","00:30:00",90,"2015-01-01"
"4","00:45:00",181,"2015-01-01"
"5","01:00:00",22,"2015-01-01"
"6","01:15:00",0,"2015-01-01"
"7","01:30:00",0,"2015-01-01"
"8","01:45:00",0,"2015-01-01"
"9","02:00:00",0,"2015-01-01"
"10","02:15:00",0,"2015-01-01"
"11","02:30:00",0,"2015-01-01"
"12","02:45:00",0,"2015-01-01"
"13","03:00:00",0,"2015-01-01"
"14","03:15:00",0,"2015-01-01"
"15","03:30:00",0,"2015-01-01"
"16","03:45:00",0,"2015-01-01"
"17","04:00:00",0,"2015-01-01"
"18","04:15:00",8,"2015-01-01"
"19","04:30:00",0,"2015-01-01"
"20","04:45:00",0,"2015-01-01"
"21","05:00:00",18,"2015-01-01"
"22","05:15:00",0,"2015-01-01"
"23","05:30:00",0,"2015-01-01"
"24","05:45:00",0,"2015-01-01"
"25","06:00:00",0,"2015-01-01"
"26","06:15:00",0,"2015-01-01"
"27","06:30:00",0,"2015-01-01"
"28","06:45:00",0,"2015-01-01"
"29","07:00:00",5,"2015-01-01"
"30","07:15:00",0,"2015-01-01"
"31","07:30:00",0,"2015-01-01"
"32","07:45:00",0,"2015-01-01"
"33","08:00:00",33,"2015-01-01"
"34","08:15:00",26,"2015-01-01"
"35","08:30:00",0,"2015-01-01"
"36","08:45:00",178,"2015-01-01"
"37","09:00:00",42,"2015-01-01"
"38","09:15:00",0,"2015-01-01"
"39","09:30:00",20,"2015-01-01"
"40","09:45:00",44,"2015-01-01"
"41","10:00:00",0,"2015-01-01"
"42","10:15:00",47,"2015-01-01"
"43","10:30:00",32,"2015-01-01"
"44","10:45:00",0,"2015-01-01"
"45","11:00:00",29,"2015-01-01"
"46","11:15:00",10,"2015-01-01"
"47","11:30:00",19,"2015-01-01"
"48","11:45:00",0,"2015-01-01"
"49","12:00:00",16,"2015-01-01"
"50","12:15:00",0,"2015-01-01"
"51","12:30:00",0,"2015-01-01"
"52","12:45:00",0,"2015-01-01"
"53","13:00:00",0,"2015-01-01"
"54","13:15:00",0,"2015-01-01"
"55","13:30:00",164,"2015-01-01"
"56","13:45:00",116,"2015-01-01"
"57","14:00:00",16,"2015-01-01"
"58","14:15:00",56,"2015-01-01"
"59","14:30:00",6,"2015-01-01"
"60","14:45:00",0,"2015-01-01"
"61","15:00:00",0,"2015-01-01"
"62","15:15:00",0,"2015-01-01"
"63","15:30:00",0,"2015-01-01"
"64","15:45:00",40,"2015-01-01"
"65","16:00:00",148,"2015-01-01"
"66","16:15:00",21,"2015-01-01"
"67","16:30:00",59,"2015-01-01"
"68","16:45:00",28,"2015-01-01"
"69","17:00:00",407,"2015-01-01"
"70","17:15:00",358,"2015-01-01"
"71","17:30:00",134,"2015-01-01"
"72","17:45:00",11,"2015-01-01"
"73","18:00:00",11,"2015-01-01"
"74","18:15:00",0,"2015-01-01"
"75","18:30:00",0,"2015-01-01"
"76","18:45:00",33,"2015-01-01"
"77","19:00:00",17,"2015-01-01"
"78","19:15:00",27,"2015-01-01"
"79","19:30:00",0,"2015-01-01"
"80","19:45:00",118,"2015-01-01"
"81","20:00:00",27,"2015-01-01"
"82","20:15:00",0,"2015-01-01"
"83","20:30:00",8,"2015-01-01"
"84","20:45:00",0,"2015-01-01"
"85","21:00:00",59,"2015-01-01"
"86","21:15:00",97,"2015-01-01"
"87","21:30:00",6,"2015-01-01"
"88","21:45:00",174,"2015-01-01"
"89","22:00:00",76,"2015-01-01"
"90","22:15:00",8,"2015-01-01"
"91","22:30:00",541,"2015-01-01"
"92","22:45:00",168,"2015-01-01"
"93","23:00:00",0,"2015-01-01"
"94","23:15:00",0,"2015-01-01"
"95","23:30:00",0,"2015-01-01"
"96","23:45:00",4,"2015-01-01"
"97","00:00:00",0,"2015-01-02"
"98","00:15:00",0,"2015-01-02"
"99","00:30:00",0,"2015-01-02"
"100","00:45:00",0,"2015-01-02"
"101","01:00:00",0,"2015-01-02"
"102","01:15:00",0,"2015-01-02"
"103","01:30:00",0,"2015-01-02"
"104","01:45:00",4,"2015-01-02"
"105","02:00:00",0,"2015-01-02"
"106","02:15:00",0,"2015-01-02"
"107","02:30:00",20,"2015-01-02"
"108","02:45:00",0,"2015-01-02"
"109","03:00:00",7,"2015-01-02"
"110","03:15:00",0,"2015-01-02"
"111","03:30:00",0,"2015-01-02"
"112","03:45:00",0,"2015-01-02"
"113","04:00:00",0,"2015-01-02"
"114","04:15:00",0,"2015-01-02"
"115","04:30:00",0,"2015-01-02"
"116","04:45:00",0,"2015-01-02"
"117","05:00:00",0,"2015-01-02"
"118","05:15:00",0,"2015-01-02"
"119","05:30:00",0,"2015-01-02"
"120","05:45:00",0,"2015-01-02"
"121","06:00:00",0,"2015-01-02"
"122","06:15:00",5,"2015-01-02"
"123","06:30:00",0,"2015-01-02"
"124","06:45:00",0,"2015-01-02"
"125","07:00:00",19,"2015-01-02"
"126","07:15:00",0,"2015-01-02"
"127","07:30:00",17,"2015-01-02"
"128","07:45:00",10,"2015-01-02"
"129","08:00:00",0,"2015-01-02"
"130","08:15:00",0,"2015-01-02"
"131","08:30:00",0,"2015-01-02"
"132","08:45:00",0,"2015-01-02"
"133","09:00:00",0,"2015-01-02"
"134","09:15:00",0,"2015-01-02"
"135","09:30:00",0,"2015-01-02"
"136","09:45:00",95,"2015-01-02"
"137","10:00:00",175,"2015-01-02"
"138","10:15:00",69,"2015-01-02"
"139","10:30:00",26,"2015-01-02"
"140","10:45:00",48,"2015-01-02"
"141","11:00:00",0,"2015-01-02"
"142","11:15:00",72,"2015-01-02"
"143","11:30:00",350,"2015-01-02"
"144","11:45:00",216,"2015-01-02"
"145","12:00:00",0,"2015-01-02"
