"","time","steps"
"1",2015-01-01,0
"2",2015-01-02,0
"3",2015-01-03,0
"4",2015-01-04,0
"5",2015-01-05,0
"6",2015-01-06,0
"7",2015-01-07,0
"8",2015-01-08,0
"9",2015-01-09,0
"10",2015-01-10,0
"11",2015-01-11,0
"12",2015-01-12,0
"13",2015-01-13,0
"14",2015-01-14,0
"15",2015-01-15,0
"16",2015-01-16,0
"17",2015-01-17,0
"18",2015-01-18,0
"19",2015-01-19,0
"20",2015-01-20,0
"21",2015-01-21,0
"22",2015-01-22,0
"23",2015-01-23,0
"24",2015-01-24,0
"25",2015-01-25,0
"26",2015-01-26,0
"27",2015-01-27,0
"28",2015-01-28,0
"29",2015-01-29,0
"30",2015-01-30,0
"31",2015-01-31,0
"32",2015-02-01,0
"33",2015-02-02,0
"34",2015-02-03,0
"35",2015-02-04,0
"36",2015-02-05,0
"37",2015-02-06,0
"38",2015-02-07,0
"39",2015-02-08,0
"40",2015-02-09,0
"41",2015-02-10,139
"42",2015-02-11,11892
"43",2015-02-12,12109
"44",2015-02-13,9309
"45",2015-02-14,13818
"46",2015-02-15,11242
"47",2015-02-16,5695
"48",2015-02-17,4743
"49",2015-02-18,4207
"50",2015-02-19,7567
"51",2015-02-20,11391
"52",2015-02-21,5339
"53",2015-02-22,3734
"54",2015-02-23,10136
"55",2015-02-24,10089
"56",2015-02-25,10949
"57",2015-02-26,13121
"58",2015-02-27,5528
"59",2015-02-28,9963
"60",2015-03-01,10647
"61",2015-03-02,3355
"62",2015-03-03,4087
"63",2015-03-04,9135
"64",2015-03-05,5459
"65",2015-03-06,10485
"66",2015-03-07,4561
"67",2015-03-08,5222
"68",2015-03-09,10646
"69",2015-03-10,10181
"70",2015-03-11,10093
"71",2015-03-12,10648
"72",2015-03-13,10146
"73",2015-03-14,3826
"74",2015-03-15,7781
"75",2015-03-16,8203
"76",2015-03-17,7958
"77",2015-03-18,8251
"78",2015-03-19,12679
"79",2015-03-20,11017
"80",2015-03-21,9532
"81",2015-03-22,3220
"82",2015-03-23,8905
"83",2015-03-24,10613
"84",2015-03-25,10482
"85",2015-03-26,9494
"86",2015-03-27,9830
"87",2015-03-28,6819
"88",2015-03-29,10131
"89",2015-03-30,9846
"90",2015-03-31,9326
"91",2015-04-01,7307
"92",2015-04-02,4798
"93",2015-04-03,8179
"94",2015-04-04,19614
"95",2015-04-05,6254
"96",2015-04-06,10287
"97",2015-04-07,10349
"98",2015-04-08,10759
"99",2015-04-09,12575
"100",2015-04-10,5846
"101",2015-04-11,8954
"102",2015-04-12,6269
"103",2015-04-13,10014
"104",2015-04-14,11475
"105",2015-04-15,14432
"106",2015-04-16,10878
"107",2015-04-17,7867
"108",2015-04-18,1457
"109",2015-04-19,0
"110",2015-04-20,0
"111",2015-04-21,0
"112",2015-04-22,0
"113",2015-04-23,0
"114",2015-04-24,0
"115",2015-04-25,0
"116",2015-04-26,7828
"117",2015-04-27,9803
"118",2015-04-28,10024
"119",2015-04-29,12037
"120",2015-04-30,4779
"121",2015-05-01,6784
"122",2015-05-02,1132
"123",2015-05-03,13035
"124",2015-05-04,13338
"125",2015-05-05,13936
"126",2015-05-06,8802
"127",2015-05-07,9721
"128",2015-05-08,4752
"129",2015-05-09,9002
"130",2015-05-10,13818
"131",2015-05-11,9405
"132",2015-05-12,12554
"133",2015-05-13,11194
"134",2015-05-14,6885
"135",2015-05-15,7870
"136",2015-05-16,14661
"137",2015-05-17,9292
"138",2015-05-18,10700
"139",2015-05-19,10155
"140",2015-05-20,10406
"141",2015-05-21,4082
"142",2015-05-22,5991
"143",2015-05-23,8244
"144",2015-05-24,7913
"145",2015-05-25,5632
"146",2015-05-26,9802
"147",2015-05-27,12292
"148",2015-05-28,4973
"149",2015-05-29,8376
"150",2015-05-30,6931
"151",2015-05-31,4459
"152",2015-06-01,7032
"153",2015-06-02,8332
"154",2015-06-03,8238
"155",2015-06-04,9751
"156",2015-06-05,8857
"157",2015-06-06,7063
"158",2015-06-07,4791
"159",2015-06-08,9549
"160",2015-06-09,3830
"161",2015-06-10,4366
"162",2015-06-11,6518
"163",2015-06-12,11386
"164",2015-06-13,13847
"165",2015-06-14,4615
"166",2015-06-15,8334
"167",2015-06-16,8020
"168",2015-06-17,8196
"169",2015-06-18,8964
"170",2015-06-19,11278
"171",2015-06-20,8087
"172",2015-06-21,6561
"173",2015-06-22,5885
"174",2015-06-23,6811
"175",2015-06-24,9699
"176",2015-06-25,5605
"177",2015-06-26,11103
"178",2015-06-27,9578
"179",2015-06-28,9295
"180",2015-06-29,9389
"181",2015-06-30,7112
"182",2015-07-01,8460
"183",2015-07-02,17086
"184",2015-07-03,14290
"185",2015-07-04,7509
"186",2015-07-05,10072
"187",2015-07-06,10159
"188",2015-07-07,8685
"189",2015-07-08,11101
"190",2015-07-09,9069
"191",2015-07-10,8742
"192",2015-07-11,6642
"193",2015-07-12,0
"194",2015-07-13,6208
"195",2015-07-14,10645
"196",2015-07-15,18584
"197",2015-07-16,10507
"198",2015-07-17,12692
"199",2015-07-18,11604
"200",2015-07-19,24937
"201",2015-07-20,7523
"202",2015-07-21,11213
"203",2015-07-22,14565
"204",2015-07-23,15030
"205",2015-07-24,6335
"206",2015-07-25,4911
"207",2015-07-26,6874
"208",2015-07-27,8133
"209",2015-07-28,400
"210",2015-07-29,7384
"211",2015-07-30,6748
"212",2015-07-31,5241
"213",2015-08-01,6258
"214",2015-08-02,20067
"215",2015-08-03,16778
"216",2015-08-04,6622
"217",2015-08-05,8795
"218",2015-08-06,564
"219",2015-08-07,10993
"220",2015-08-08,5338
"221",2015-08-09,17876
"222",2015-08-10,6540
"223",2015-08-11,220
"224",2015-08-12,0
"225",2015-08-13,0
"226",2015-08-14,0
"227",2015-08-15,0
"228",2015-08-16,2382
"229",2015-08-17,1353
"230",2015-08-18,0
"231",2015-08-19,0
"232",2015-08-20,0
"233",2015-08-21,0
"234",2015-08-22,0
"235",2015-08-23,0
"236",2015-08-24,0
"237",2015-08-25,0
"238",2015-08-26,0
"239",2015-08-27,0
"240",2015-08-28,0
"241",2015-08-29,8600
"242",2015-08-30,12186
"243",2015-08-31,11770
"244",2015-09-01,13854
"245",2015-09-02,6440
"246",2015-09-03,9420
"247",2015-09-04,4799
"248",2015-09-05,0
"249",2015-09-06,0
"250",2015-09-07,8860
"251",2015-09-08,10037
"252",2015-09-09,9669
"253",2015-09-10,6980
"254",2015-09-11,13742
"255",2015-09-12,11168
